customer_id,age,gender,registration_date,purchase_frequency,avg_order_value,total_spending,last_purchase_date,product_category,num_orders,customer_lifetime_days,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,rfm_combined,segment,customer_lifetime,avg_days_between_purchases,spending_velocity,avg_spending_per_purchase,recency_months,frequency_per_month,category_Beauty,category_Clothing,category_Electronics,category_Home,category_Sports,gender_Female,gender_Male,gender_Other
CUST_00001,0.6785714285714286,Male,2020-04-09,20,0.5296708466961366,10481.945804195311,2020-10-26,Home,0.11486486486486487,749,0.8094905792044661,0.3958333333333333,0.6986553194254155,1,2,4,124,7,Lost,0.14104372355430184,0.013432735576600175,0.003646149280475487,0.06680861442723474,0.8094905792044662,0.002409743027445878,False,False,False,True,False,False,True,False
CUST_00003,0.5,Female,2021-08-21,32,0.9447403648892172,10751.0695899504,2021-10-07,Electronics,0.6216216216216216,384,0.5680390788555478,0.6458333333333333,0.7166361476438777,1,4,4,144,9,At Risk,0.03314527503526093,0.002008804547591572,0.015669597034907525,0.04355262255151629,0.5680390788555478,0.016243253463508543,False,False,True,False,False,True,False,False
CUST_00004,0.25,Male,2021-02-06,2,0.10043224444929683,13513.904609937785,2023-10-28,Electronics,0.16891891891891891,875,0.043963712491277035,0.020833333333333332,0.9012280139888074,5,1,5,515,11,Potential Loyalists,0.7009873060648801,0.46732487070992,0.0009475171820269752,0.604169990419031,0.043963712491277035,3.18378305636609e-05,False,False,True,False,False,False,True,False
CUST_00006,0.125,Other,2021-02-18,45,0.9794538806731161,3994.114240259127,2023-05-09,Sports,0.08108108108108109,708,0.16399162595952546,0.9166666666666666,0.26518718678100145,4,5,2,452,11,Need Attention,0.5712270803949224,0.02483596001717054,0.00034177511728195097,0.011494500159961066,0.16399162595952546,0.001336177390710316,False,False,False,False,True,False,False,True
CUST_00012,0.1785714285714286,Other,2023-02-27,5,0.8565579871707836,7491.298085542707,2023-06-25,Electronics,0.5405405405405406,219,0.13119330076762037,0.08333333333333333,0.4988427211440997,4,1,3,413,8,Need Attention,0.08321579689703808,0.027738598965679363,0.004402066654322509,0.16734642802106114,0.13119330076762037,0.0010076291508731101,False,False,True,False,False,False,False,True
CUST_00013,0.4107142857142857,Female,2020-03-24,35,0.8829198930625728,14019.276650833956,2020-06-14,Electronics,0.8851351351351351,13,0.9030006978367062,0.7083333333333333,0.9349931746128377,1,4,5,145,10,At Risk,0.05782792665726375,0.003212662592070208,0.011815967926789387,0.0520895581316998,0.9030006978367061,0.010268030767229944,False,False,True,False,False,True,False,False
CUST_00014,0.9285714285714286,Male,2020-09-27,36,0.2968871791867972,2264.148218818343,2021-03-03,Clothing,0.5945945945945946,423,0.7201674808094906,0.7291666666666666,0.1496038622969629,1,4,1,141,6,At Risk,0.11071932299012693,0.005984828269736591,0.0009998731100918244,0.008055359189125262,0.7201674808094906,0.005540177656437184,False,True,False,False,False,False,True,False
CUST_00016,0.6964285714285714,Male,2021-01-22,14,0.3582473617517171,13675.885697223184,2022-07-21,Home,0.10810810810810811,968,0.36775994417306346,0.2708333333333333,0.9120503725437996,3,2,5,325,10,Potential Loyalists,0.3843441466854725,0.05124588622472967,0.001749790854642966,0.12215945134142932,0.3677599441730635,0.0006082129909006047,False,False,False,True,False,False,True,False
CUST_00017,0.4107142857142857,Male,2020-08-01,9,0.09889393478248744,5249.806666760894,2021-05-23,Home,0.5743243243243243,786,0.6636427076064201,0.16666666666666666,0.349083115016417,1,1,2,112,4,Lost,0.20803949224259521,0.04160789844851904,0.0012381833277860604,0.07027525939597014,0.6636427076064201,0.0007244193727916098,False,False,False,True,False,False,True,False
CUST_00019,0.375,Male,2023-04-04,24,0.5965725228145976,5851.111597891709,2023-05-28,Sports,0.7905405405405406,271,0.15073272854152128,0.4791666666666667,0.38925779018770296,4,3,2,432,9,Need Attention,0.03808180535966149,0.00304654442877292,0.007441085255973493,0.031244404506939806,0.15073272854152128,0.010626009831895218,False,False,False,False,True,False,True,False
